Hückelhoven-Doveren, Kreuzherren	01/04/07
Stamm Jakobiner	01/08/02
Berlin-Tempelhof, Salvator	04/00/02
Walzbachtal	07/10/01
Remchingen, Eisingen	07/11/04
Kaufungen	08/11/19
St. Paulus, Oyten	09/04/19
Lüneburg	09/04/20
Rommerskirchen	10/06/05
Phönix Neuss-Süd	10/06/11
Pfadfinden in Rösrath	10/14/15
Heidesheim	12/02/21
München Hl. Kreuz - Forstenried	13/12/14
Steinadler Talkessel Berchtesgaden	13/16/11
Haltern am See	14/04/23
Borkum, Nordlichter	15/00/02
Fürstenzell	17/05/08
Vilsbiburg	18/05/13
Heilbronn - Über dem Salzgrund	19/09/18
Ludwigswinkel	20/02/09
Bad Hönningen	21/04/08
Perl, St. Gervasius & Protasius	21/06/02
Trier-Tarforst, Centarburs	21/09/08
Burgenlandfalken Weißenfels	31/17/06
Kiel Damiano	33/00/01
Glinde, GerLinde	33/00/03
