Rheinbezirk	01/01/00
Grenzland	01/02/00
Mönchengladbach	01/03/00
Heinsberg	01/04/00
Düren	01/05/00
Aachen-Land	01/06/00
Eifel	01/07/00
Aachen-Stadt	01/08/00
Donau-Ries	02/01/00
Augsburg	02/02/00
Rochus Spiecker	02/03/00
Allgäu	02/04/00
Iller	02/05/00
Nürnberg/Fürth	03/01/00
2	03/02/00
Obermain	03/03/00
Schwabachgrund	03/04/00
Borbeck & Frohnhausen	06/01/00
Duisburg	06/02/00
Bottrop/Gladbeck	06/04/00
Ennepe-Ruhr	06/05/00
Gelsenkirchen	06/06/00
Sauerland	06/07/00
Bochum & Wattenscheid	06/08/00
Mülheim / Ruhr	06/09/00
Essen Mitte-Nord-Ost	06/10/00
Essen-Süd	06/11/00
Mannheim-Bergstraße	07/01/00
Karlsruhe	07/02/00
Ortenau-Kinzigtal	07/03/00
Wiesental-Hochrhein	07/05/00
Hohenzollern	07/06/00
Bodensee	07/07/00
Baar	07/08/00
Kurpfalz	07/09/00
Bruchsal	07/10/00
Pforzheim	07/11/00
Odenwald-Tauber	07/13/00
Emmendingen	07/14/00
Breisgau	07/15/00
Ludwig	09/01/00
Harz	09/02/00
Elm	09/03/00
Nord	09/04/00
Hannover	09/05/00
Bergisch Land	10/01/00
Düsseldorf	10/03/00
Erft	10/04/00
Köln Linksrheinisch	10/05/00
Rhein - Erft	10/06/00
Niederberg	10/07/00
Sieg	10/09/00
Voreifel	10/10/00
Bonn	10/12/00
Siebengebirge	10/13/00
Rhein Berg	10/14/00
Oberhessen	12/01/00
Rhein-Main-Hessen	12/02/00
Heldon	12/03/00
München-Isar	13/12/00
München - Ost	13/13/00
Würm - Amper	13/14/00
Freising	13/15/00
Ruperti - Mühldorf	13/16/00
Ebersberg	13/17/00
Rosenheim	13/19/00
Oberland	13/20/00
Niederrhein-Nord	14/01/00
Oldenburg	14/02/00
Borken	14/03/00
Recklinghausen	14/04/00
Steinfurt	14/05/00
Warendorf	14/06/00
Münster	14/07/00
Niederrhein-Süd	14/08/00
Coesfeld	14/09/00
Dortmund	16/01/00
Ruhr-Sauerland	16/02/00
Soest-Hamm	16/03/00
Hochsauerland	16/04/00
Siegerland-Südsauerland	16/05/00
OWL	16/06/00
Corvey	16/08/00
Fichtelbezirk	18/01/00
Burgenbezirk	18/02/00
Hüttenbezirk	18/03/00
Niederbayern	18/05/00
Dombezirk	18/06/00
Jurabezirk	18/07/00
Stuttgart	19/01/00
Neckar/Filder	19/02/00
Neckar	19/03/00
Hohenstaufen	19/04/00
Oberland	19/06/00
Schwarzwald-Donau	19/07/00
Ostalb	19/08/00
Unterland	19/09/00
Hohenlohe	19/11/00
Trifels	20/02/00
Ludwigshafen	20/03/00
Saarpfalz	20/04/00
Haardt	20/05/00
Koblenz	21/01/00
Mittelmosel	21/02/00
Rhein-Hunsrück-Nahe	21/03/00
Rhein-Wied	21/04/00
Saarbrücken	21/05/00
Saar-Hochwald	21/06/00
Schaumberg-Blies	21/07/00
Sieg	21/08/00
Trier	21/09/00
Eifel / Ahr	21/10/00
Untermain	22/01/00
St. Kilian	22/03/00
Genesis Nord	22/05/00
Main-Spessart	22/08/00
Mainfranken	22/10/00
